Player,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Age,Pos,Salary,Team,Year
Alex Okafor,,O,O,,,,O,IR,IR,IR,,,,29.0,DE,2000000.0,Chiefs,2020.0
Kelechi Osemele,,,,,,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020.0
Byron Pringle,,,,,,,,,,,IR,IR,IR,,,,Chiefs,2020.0
Martinas Rankin,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,PUP,,,,,26.0,OT,591180.0,Chiefs,2020.0
Khalen Saunders,,O,IR,IR,IR,IR,IR,,,,,,,24.0,DT,439706.0,Chiefs,2020.0
Mitchell Schwartz,,,,,,,O,O,O,O,IR,IR,IR,,,,Chiefs,2020.0
L'Jarius Sneed,,,,IR,IR,IR,IR,IR,IR,IR,,,,23.0,S,437058.0,Chiefs,2020.0
Charvarius Ward,,O,Q,,,,,,,,,,,24.0,DB,750000.0,Chiefs,2020.0
Sammy Watkins,,,Q,,,,O,O,Q,Q,,,,27.0,WR,7000000.0,Chiefs,2020.0
Damien Williams,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Chiefs,2020.0
Chidobe Awuzie,,,O,IR,IR,IR,IR,IR,IR,IR,,,C19,25.0,CB,1049126.0,Cowboys,2020.0
Tyler Biadasz,,,,,,,,,,O,IR,IR,IR,23.0,OL,610000.0,Cowboys,2020.0
Anthony Brown,,IR,IR,IR,IR,,,,,,Q,,,27.0,CB,1750000.0,Cowboys,2020.0
Ventell Bryant,IR,IR,IR,IR,IR,IR,IR,,,,,,,,,,Cowboys,2020.0
Maurice Canady,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,IR,,,,Cowboys,2020.0
